jw_entity_id,title,type,release_year,seasons
ts22386,RWBY,show,2013,8
ts20513,Fairy Tail,show,2009,9
ts84657,Kaguya-sama: Love Is War,show,2019,3
ts10145,Case Closed,show,1996,51
ts56104,Boruto: Naruto Next Generations,show,2017,2
ts84633,The Promised Neverland,show,2019,2
ts21930,Lupin the Third,show,1971,6
ts58045,Classroom of the Elite,show,2017,2
ts34554,Rurouni Kenshin,show,1996,4
ts286543,My Dress-Up Darling,show,2022,1
ts29406,Gintama,show,2006,12
ts28998,Mobile Suit Gundam Wing,show,1995,1
ts87522,Fruits Basket - 2019,show,2019,3
ts47734,Yuri!!! on Ice,show,2016,1
ts271380,ODDTAXI,show,2021,1
ts87563,Dr. Stone,show,2019,3
ts84230,That Time I Got Reincarnated as a Slime,show,2018,2
ts29358,Ghost Stories,show,2000,1
ts89550,Fire Force,show,2019,2
ts84631,The Rising of the Shield Hero,show,2019,2
ts84141,Goblin Slayer,show,2018,1
ts222366,Mushoku Tensei: Jobless Reincarnation,show,2021,1
ts227439,86: Eighty-Six,show,2021,2
ts26050,Mushi-Shi,show,2005,3
ts224077,To Your Eternity,show,2021,2
ts14127,Fist of the North Star,show,1984,6
ts44387,My Teen Romantic Comedy SNAFU,show,2013,3
ts34087,Puella Magi Madoka Magica,show,2011,1
ts75516,The Ancient Magus' Bride,show,2017,2
ts249912,Tokyo Revengers,show,2021,1
ts28014,Another,show,2012,1
ts84280,Rascal Does Not Dream of Bunny Girl Senpai,show,2018,1
